REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1949-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,11.6,,,,1
1949-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,11.4,,,,1
1949-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,11.4,,,,1
1949-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,11.2,,,,1
1949-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,11.2,,,,1
1949-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,11.4,,,,1
1949-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,11.5,,,,1
1949-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,11.6,,,,1
1949-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,11.6,,,,1
1949-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,11.6,,,,1
1949-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,11.7,,,,1
1949-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,11.5,,,,1
1950-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,11.2,,,,1
1950-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,11.3,,,,1
1950-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,11.4,,,,1
1950-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,11.4,,,,1
1950-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,11.4,,,,1
1950-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,11.6,,,,1
1950-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,11.8,,,,1
1950-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,11.9,,,,1
1950-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.1,,,,1
1950-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.4,,,,1
1950-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.5,,,,1
1950-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.5,,,,1
1951-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.5,,,,1
1951-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.7,,,,1
1951-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.0,,,,1
1951-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.2,,,,1
1951-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.1,,,,1
1951-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.3,,,,1
1951-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.5,,,,1
1951-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.7,,,,1
1951-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.8,,,,1
1951-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.9,,,,1
1951-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.0,,,,1
1951-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.0,,,,1
1952-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.0,,,,1
1952-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.8,,,,1
1952-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.5,,,,1
1952-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.5,,,,1
1952-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.2,,,,1
1952-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.3,,,,1
1952-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.3,,,,1
1952-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.3,,,,1
1952-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.3,,,,1
1952-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.2,,,,1
1952-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.3,,,,1
1952-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.0,,,,1
1953-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.0,,,,1
1953-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.0,,,,1
1953-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.8,,,,1
1953-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.7,,,,1
1953-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.6,,,,1
1953-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.7,,,,1
1953-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.0,,,,1
1953-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.0,,,,1
1953-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.0,,,,1
1953-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.2,,,,1
1953-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.0,,,,1
1953-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.9,,,,1
1954-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.8,,,,1
1954-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.8,,,,1
1954-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.7,,,,1
1954-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.6,,,,1
1954-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.6,,,,1
1954-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.9,,,,1
1954-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.9,,,,1
1954-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.1,,,,1
1954-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.0,,,,1
1954-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.0,,,,1
1954-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.0,,,,1
1954-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.0,,,,1
1955-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.9,,,,1
1955-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.8,,,,1
1955-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.7,,,,1
1955-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.7,,,,1
1955-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.9,,,,1
1955-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.7,,,,1
1955-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.8,,,,1
1955-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.9,,,,1
1955-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.0,,,,1
1955-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.0,,,,1
1955-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.0,,,,1
1955-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.9,,,,1
1956-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.8,,,,1
1956-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.6,,,,1
1956-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.6,,,,1
1956-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.6,,,,1
1956-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,12.6,,,,1
1956-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.0,,,,1
1956-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.1,,,,1
1956-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.3,,,,1
1956-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.2,,,,1
1956-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.5,,,,1
1956-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.5,,,,1
1956-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.5,,,,1
1957-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.4,,,,1
1957-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.5,,,,1
1957-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.4,,,,1
1957-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.4,,,,1
1957-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.4,,,,1
1957-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.5,,,,1
1957-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.5,,,,1
1957-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.8,,,,1
1957-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.0,,,,1
1957-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.0,,,,1
1957-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.8,,,,1
1957-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.6,,,,1
1958-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,13.7,,,,1
