"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Household spending by household type","11100224","203-0023","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110022401",3;4;6;7;11;14,"CURRENT - a cube available to the public and that is current","Annual","2010-01-01","2021-01-01","4",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Statistic",,""
"3","Household type",,""
"4","Household expenditures, summary-level categories",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Canada","[11124]","1","","",10,
"2","Average expenditure per household","","1","","",,
"3","One person households","","2","1","",,
"3","Couples without children","","3","1","",1,
"3","Couples with children","","4","1","",1,
"3","Couples with other related or unrelated persons","","5","1","",,
"3","Lone-parent households with no additional persons","","6","1","",,
"3","Other households with related or unrelated persons","","7","1","",,
"3","All classes","","1","","",,
"4","Income taxes","","40","1","",8,
"4","Personal insurance payments and pension contributions","","41","1","",,
"4","Gifts of money, support payments and charitable contributions","","42","1","",,
"4","Total current consumption","","2","1","",,
"4","Tobacco products and alcoholic beverages","","37","2","t",,
"4","Games of chance","","38","2","",,
"4","Miscellaneous expenditures","","39","2","",,
"4","Food expenditures","","3","2","",,
"4","Shelter","","6","2","",,
"4","Household operations","","12","2","",,
"4","Household furnishings and equipment","","14","2","",,
"4","Clothing and accessories","","18","2","",,
"4","Transportation","","23","2","",,
"4","Health care","","26","2","",,
"4","Personal care","","29","2","",,
"4","Recreation","","30","2","",,
"4","Education","","35","2","",,
"4","Reading materials and other printed matter","","36","2","",,
"4","Tobacco products, alcoholic beverages and cannabis for non-medical use","","359","2","",,
"4","Food purchased from stores","","4","3","",,
"4","Food purchased from restaurants","","5","3","",,
"4","Ready-to-cook meal delivery services","","364","3","",,
"4","Bakery products","","43","4","",,
"4","Cereal grains and cereal products","","44","4","",,
"4","Fruit, fruit preparations and nuts","","45","4","",,
"4","Vegetables and vegetable preparations","","46","4","",,
"4","Dairy products and eggs","","47","4","",,
"4","Meat","","48","4","",,
"4","Fish and seafood","","49","4","",,
"4","Non-alcoholic beverages and other food products","","50","4","",,
"4","Restaurant meals","","51","5","",,
"4","Restaurant snacks and beverages","","52","5","",,
"4","Principal accommodation","","7","6","",,
"4","Other accommodation","","11","6","",,
"4","Rented living quarters","","8","7","",,
"4","Owned living quarters","","9","7","",,
"4","Water, fuel and electricity for principal accommodation","","10","7","",,
"4","Rent","","53","8","",,
"4","Tenants' repairs and improvements","","54","8","",,
"4","Tenants' insurance premiums","","55","8","",,
